Food,Serving,Total Weight (gms),Ingredients
Soya flour Gobi stuffed paratha,2,393,Cauliflower-15 gms; Onion-15 gms; Ginger-4 gms; Cumin seeds-4 gms; chillies-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Soya flour-250 gms; Atta-30 gms
DUMPLINGS (Veg),4,255,carrot-15 gms; CABBAGE-15 gms; Capsicum-15 gms; mushroom-15 gms; Garlic-7 gms; Ginger-7 gms; soya sauce-15 gms; Gingelly oil-7 gms; Onion-15 gms; Atta-125 gms; Common salt-4 gms; Chili Sauce-15 gms
Baked Vegetables,4,83,Cauliflower-20 gms; carrot-20 gms;Capsicum-20 gms;Black Pepper-4 gms; Common salt-4 gms; Olive oil-15 gms
LETTUCE WRAP (Chicken),1,369,Lettuce Leaf-20 gms; Chicken-70 gms; Tomato-120 gms; Cucumber-62 gms; Onion-30 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Lemon-15 gms; soya sauce-15 gms; Sesame oil-7 gms
Soya Sizzler,1,567,Soyabean-30 gms; Ginger-15 gms;Garlic-15 gms; Cooking oil-7 gms; Capsicum-60 gms; Mushroom-20 gms; Onion-20 gms; Zucchini-20 gms; Tomato-120 gms; Cabbage-200 gms; Common salt-15 gms; Red chilli Powder-15 gms; Ginger powder-15 gms; Black pepper-15 gms;
Fried Rice,1,585,Rice-250 gms; Mustard oil-15 gms; Onion-77 gms; Capsicum-62 gms; carrot-62 gms; Peas-62 gms; Garlic-20 gms; soya sauce-7 gms; Common salt-15 gms; Black pepper-15 gms;
Soy Milk,1,125,Soya bean-125 gms;
Soya Bhurji,4,335,Turmeric powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Olive oil-15 gms
Chicken sizzler,1,759,Chicken-300 gms; Sunflower oil-15 gms; Garlic-15 gms; Zucchini-125 gms; Mushroom-125 gms; carrot-125 gms; soya sauce-15 gms; VINEGAR-15 gms; Black pepper-24 gms
Rajma Chaat,1,343,RAJMA-250 gms; CUCUMBER-15 gms; Tomato-15 gms; Chillies-4 gms; Coriander leaves-15 gms; Lemon-7 gms; Common salt-7 gms; Chat Masala-15 gms; Cumin Powder-15 gms
Saute Tofu,1,389,Common salt-15 gms; Coriander leaves-15 gms; Tofu-150 gms; Red chilli Powder-15 gms;Onion-125 gms; Garlic-15 gms; Chillies-24 gms; Coriander Powder-15 gms; Turmeric powder-15 gms
CHILLI CHICKEN,1,374,Chicken-60 gms; soya sauce-15 gms; VINEGAR-7 gms; Ginger-15 gms;Garlic-15 gms; Chillies-7 gms; Onion-60 gms; Capsicum-150 gms; Common salt-15 gms; Coriander leaves-15 gms; ; Olive oil-15 gms
Soya granules,3,315,Common salt-15 gms; Ginger-1 ; Black pepper-7 gms; CURRY LEAVES-5 gms; CORIANDER-30 gms; Cooking oil-15 gms; Onion-60 gms; Ginger-7 gms; Cumin seeds-7 gms; Chillies-4 gms; CORIANDER LEAVES-15 gms; Soya Granules-150 gms
Chicken Rice,1,422,Onion-120 gms; Ginger-5 gms;Garlic-5 gms; Cooking oil-2 gms; Common salt-15 gms; Black pepper-15 gms; Rice-60 gms; Chicken-200 gms
Gravy tofu,1,592,Common salt-15 gms; Black pepper-15 gms; Cooking oil-30 gms; Onion-100 gms;Garlic-2 gms; Ginger-5 gms; Capsicum-100 gms; MUSHROOM-250 gms; soya sauce-15 gms; Tofu-150 gms
Masala Tofu,1,317,Common salt-15 gms; Onion-10 gms;Garlic-2 gms; Ginger-7 gms; Tomato-120 gms; CORIANDER leaves-15 gms; TURMERIC powder-7 gms; Tofu-150 gms
Soya Roti Roll (Broccoli & Tofu),1,440,Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Soya flour-75 gms; Broccoli-125 gms; Tofu-150 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms
Smoothie (Soya Milk),1,509,Papaya-150 gms; ORANGE-90 gms; Almond-4 gms; PUMPKIN SEED-15 gms; Soya Milk-250 gms
Tofu Salad,1,169,CUCUMBER-62 gms; Capsicum-62 gms; CORIANDER-15 gms; Lemon-15 gms; Tofu-15 gms
Soya Chunks Salad,1,1202,CUCUMBER-250 gms; carrot-250 gms; Tomato-120 gms; Capsicum-250 gms; Lemon-5 gms; Common salt-7 gms; Black pepper-15 gms; Parsley-5 gms; Soya Chunks-300 gms
Noodles Tofu Sizzler,1,452,Common salt-7 gms; Lettuce Leaf-75 gms; Capsicum-75 gms; Onion-70 gms; Mint leaves-15 gms; Ginger-15 gms; Garlic-15 gms; Cumin seeds-15 gms; Coriander seeds-15 gms; Rice Noodles-150 gms
Nutri matar (soya) Vegetable,1,352,Peas-62 gms; Tomato-120 gms; Onion-50 gms; Cumin seeds-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms; Soya Chunks-75 gms
Soya Sprouts Salad,2,952,CUCUMBER-250 gms; carrot-250 gms; Capsicum-250 gms; Lemon-5 ml; Common salt-7 gms; Black pepper-15 gms;Parsley-15 gms; Brussels sprouts-15 gms; Soyabean-150 gms
Lettuce wrap with Vegetables,1,245,MUSHROOM-60 gms; Spinach-60 gms; Onion-30 gms; Capsicum-75 gms; carrot-1 gms; Garlic-5 gms; Common salt-0.5 gms; Black pepper-0.5 gms;Parsley-4 gms
BEANS/CHINESE BEANS,1,300,Beans-125 gms; Onion-100 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Common salt-15 gms
Vegetables In Black Bean Sauce,1,194,Garlic-1 gms; Ginger-1 gms; Capsicum-15 gms; carrot-1 gms; MUSHROOM-1 gms; Zucchini-50 gms; Onion-80 gms; soya sauce-15 gms; Common salt-15 gms; Black pepper-15 gms
Vietnamese cold Spring Roll,2,264,Lettuce Leaf-20 gms; Mint leaves-15 gms; CORIANDER-15 gms; carrot-62 gms; Capsicum-62 gms; CUCUMBER-62 gms; soya sauce-4 gms; VINEGAR-4 gms; Rice paper-20 gms
Soya wrap,1,1003,Lettuce leaf-60 gms; Tomato-250 gms; CUCUMBER-250 gms; Capsicum-250 gms; Cumin seeds-4 gms; Chillies-4 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-5 gms; Soya-150 gms
Shredded Chicken with Soya Sauce,4,405,HONEY-15 gms; Common salt-15 gms; Chicken-300 gms; soya sauce-30 gms; Vinegar-15 gms; Sesame Oil-15 gms; Garlic-15 gms
Rice Flour Wrap with Tofu And Veggie,2,610,Rice Flour-150 gms; Common salt-15 gms; Cumin seeds-15 gms; Ajwain-15 gms; Red chilli Powder-15 gms; Olive oil-15 gms; Tofu-350 gms; Capsicum-10 gms; Onion-10 gms; CABBAGE-10 gms; Coriander Powder-5 gms
Soya Tikki,2,1070,Soya Granules-150 gms; POTATO-700 gms; Onion-125 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Common salt-15 gms; Olive oil-15 gms
Soya Flour Gobhi Stuffed Paratha,2,465,Ginger powder-15 gms; Chillies-15 gms; Coriander Powder-5 gms; Common salt-15 gms; Coriander leaves-15 gms; Soya flour-250 gms; Cauliflower-150 gms;
Saute Tofu,2,151,Tofu-150 gms; Onion-1 gms
Soya Flour Cheela,1,685,Soya flour-250 gms;Onion-125 gms; Tomato tomato; Capsicum-250 gms; Chillies-15 gms; Ginger powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Tofu Tikka Saute in Green Chutney,1,385,Tofu-250 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Chillies-15 gms; Ginger-15 gms;Garlic-15 gms; Cumin seeds-15 gms; Chat Masala-15 gms; Common salt-15 gms; Olive oil-15 gms
Soya Flour Cheela,1,540,Onion-125 gms; Tomato-90 gms; Capsicum-250 gms; Chillies-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Avocado Toast 2,1,530,Avocado-180 gms; Bread-50 gms; Black Pepper-15 gms; Tomato-90 gms; Onion-150 gms; Lemon-15 gms; Olive oil-15 gms;Parsley-15 gms
