Food,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg/CO2),Ingredients
Egg white omelette,Continental,Breakfast,Eggetarian,egg allergy,1 medium,135,74,7,0,5,0,0.0175,"Egg, poultry, white, raw (65 gms) - 2 medium; Sunflower oil (5 gms) - 1 tbsp; Pepper, black - 1 pinch; Common salt - 1 pinch"
Baked sweet potatoes,Continental,Breakfast,Veg,no-allergies,1 medium bowl,267,574,4,75,27,13,0.542,"Sweet potato, brown skin (100 gms) - 2 medium; Common salt - 1 pinch; Pepper, black - 0.5 tbsp; oilve Oil - 1 tbsp; PARSLEY - 1 tbsp;VeganButter - 1 tbsp; Garlic Powder - 1 tbsp"
Bajra Cheela,West,"Breakfast,Lunch",Vegan,no-allergies,2 medium,340,113,3,17,4,3,0.17875,"Carrot, orange (5 gms) - 1 small katori; Coriander leaves (5 gms) - 1 tbsp; Chillies, green-1 (1 gms) - 1 gms; Turmeric powder (1.25 gms) - 0.25 tbsp; Mustard oil (5 gms) - 1 tbsp; Common salt - 1 tbsp; Onion Finely Chopped - 1 medium onion; Bajra flour - 5 tbsp"
French Fries,Continental,Snacks,Veg,nightshade allergy,1 small bowl,530,149,2,22,5,3,0.2415,"Potato, brown skin, big (500 gms) - 1 large; Common salt - 1 tbsp; oilve Oil - 1 tbsp"
Paneer Tikki,North,Snacks,Veg,dairy allergy,3 number,241,116,3,5,8,1,0.649,"Potato, brown skin, small (100 gms) - 100 gms; Chillies, green - all varieties (5 gms) - 1 tbsp; Coriander leaves (15 gms) - 1 tbsp; Sunflower oil (15 gms) - 1 tbsp; Common salt - 1 tbsp; Garam Masala - 1 tbsp; Red chilli Power - 0.25 tbsp; Paneer Homemade - 2.5 Small cube; Ginger, fresh (2.5 gms) - 0.5 piece; Ground Cumin - 0.5 tbsp"
Egg white Scrambled,Continental,Breakfast,Eggetarian,egg allergy,2 medium bowl,60,35,2,1,3,1,0.2475,"Egg, poultry, white, raw (30 gms) - 1 medium; Groundnut oil (5 gms) - 1 tbsp; Pepper, black (5 gms) - 1 tbsp"
Poached Egg white,Continental,Breakfast,Eggetarian,egg allergy,1 gms,195,85,8,0,5,0,0.735,"Egg, poultry, white, raw (50 gms) - 3 medium; Sunflower oil (5 gms) - 1 tbsp; Lemon, juice (15 gms) - 1 tbsp; Common salt - 1 tbsp"
Chatpate Mushroom,North ,Snacks,Veg,mushroom allergy,1 medium katori,247,146,6,12,5,9,0.5565,"Button mushroom, fresh (75gms) - 100 gms; Onion, small (50 gms) - 50 gms; Chillies, green-1 (5 gms) - 1 tbsp; Cumin seeds (2.5 gms) - 0.5 tbsp; Coriander seeds (2.5 gms) - 0.5 tbsp; Chillies, red (1.25 gms) - 0.25 tbsp; Lemon, juice (2.5 gms) - 0.5 tbsp; Sunflower oil (5 gms) - 1 tbsp; Coriander leaves (15 gms) - 1 tbsp; Ginger, fresh - 0.25 tbsp; Coriander Powder - 1 1 tsp; Common salt - 0.5 tbsp; Garam Masala - 1 tbsp; CORIANDER LEAVES - 1 tbsp"
Mushroom Pepper Masala,South ,"Lunch,Dinner",Veg,mushroom allergy,1 large katori,428,206,8,24,5,12,0.7325,"Button mushroom, fresh (100 gms) - 1 small bowl; Onion, small (120 gms) - 0.5 cup; Capsicum, green (120 gms) - 0.5 cup; Garlic, big clove (5 gms) - 1 tbsp; Ginger, fresh (5 gms) - 1 tbsp; Turmeric powder (2.5 gms) - 0.5 tbsp; Chillies, red (5 gms) - 0.5 tbsp; Cumin seeds (5 gms) - 0.5 tbsp; Coriander leaves (15 gms) - 1 tbsp; Sunflower oil (5 gms) - 1 tbsp; Common salt - 1 pinch; CORIANDER - 0.5 tbsp; Pepper, black - 0.5 tbsp"
Rice idli,South ,Breakfast,Veg,no-allergies,5 number,158,66,2,13,0,1,0.38225,"Rice, parboiled, milled (75 gms) - 1 medium katori; Fenugreek seeds (1.25 gms) - 0.25 tbsp; Rice bran oil (1.25 gms) - 0.25 tbsp; Urad Dal Flour - 0.5 small bowl; Plain Water - 1 small glass"
Non VegCutlet,"North,South,East,West",Snacks,Non-veg,no-allergies,2 number,579,233,19,12,11,3,2.172,"Potato, brown skin, big (100 gms) - 2 medium; Onion, small (50 gms) - 1 medium; Garlic, small clove (5 gms) - 1 tbsp; Ginger, fresh (5 gms) - 1 tbsp; Chillies, green-1 (0.25 gms) - 1 tbsp; Turmeric powder (1.25 gms) - 0.25 tbsp; Coriander leaves (5 gms) - 1 tbsp; Sunflower oil (5 gms) - 1 tbsp; Ground Chicken - 2 Medium Piece; Plain Water - 1 small glass; Garam Masala - 1 tbsp; Cumin seeds - 1 tbsp; Coriander Powder - 1 1 tsp; Common salt - 1 tbsp"
Potato Mushroom Kebab,"North,South,West",Snacks,Veg,mushroom allergy,2 number,950,211,6,28,8,6,1.9345,"Potato, brown skin, small - 1 medium; oilve Oil - 1 tbsp; Onion Finely Chopped - 1 medium onion; Coriander Powder - 1 1 tsp; Mushrooms, finely Chopped - 3 small bowl; Garlic paste - 1 tbsp; Ginger, fresh - 1 tbsp; Chillies, green-1 - 1 small; Coriander leaves - 1 tbsp; Red chilli Power - 1 tbsp; Garam Masala - 1 tbsp; Common salt - 1 tbsp; Bread Crumbs - 1 small bowl"
Quinoa Upma,South ,Breakfast,Vegan,no-allergies,2 medium bowl,422,345,13,43,13,15,0.4957,"Quinoa - 0.5 cup; Mustard oil - 1 tbsp; Mustard seeds - 1 tbsp; Cumin seeds - 1 tbsp; Chillies, green-1 - 1 gms; Onion, small - 0.25 cup; Carrot, orange - 0.25 cup; Peas, fresh - 0.25 cup; Capsicum, green - 0.25 cup; Turmeric powder - 0.25 tbsp; Common salt - 1 pinch; Coriander leaves - 1 tbsp"
Salami Sandwich (Chicken),Continental,Lunch ,Non-veg,gluten allergy,2 number,784,137,13,10,5,1,2.2545,"Chicken Salami - 2 medium; Tomato, ripe, local - 1 medium; Cucumber, green, short - 1 medium; Lettuce Leaf - 2 number; Coriander Chutney /Mint Chutney/Mustard Sauce - 1 tbsp; Black Pepper Powder (opt.) - 0.25 tbsp; Bread Crumbs - 1 small bowl"
Barley (Jaw) Water,Continental,Drinks,Veg,no-allergies,1 glass,15,16,1,3,0,1,0.0165,Barley (Grain) - 1 tbsp; Plain Water - 1 medium glass
Dahi Paneer Kebab,North,Snacks,Veg,dairy allergy,1 number,174,284,10,6,23,1,0.8319,"Paneer - 70 gms; CURDS (cow milk) - 1 tbsp; Ginger, fresh - 0.5 tbsp; Garlic, small clove - 0.5 tbsp; Lemon, juice - 1 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; oilve Oil - 1 tbsp; Red chilli Power - 1 tbsp"
Sabudana Cutlet/Tikki,"North, South",Snacks,Veg,peanut allergy,1 number,113,372,5,68,8,5,0.1815,"Sabudana(Sago) - 0.25 cup; boiled &amp; mashed - 1 small; Ginger Paste - 0.5 tbsp; Chillies, green-1 - 1 number; Coriander leaves - 0.5 tbsp; Amchur Powder - 0.5 tbsp; Red Chilli Powder - 0.5 tbsp; Common salt - 1 tbsp; Cooking Oil - 1 tbsp"
kari-Patta Saunf Ajawain Water,"North,South,East,West",Drinks,Vegan,no-allergies,1 glass,17,11,0,1,1,0,0.0145,Curry leaves - 2 gms; OMUM - 1 gms; Carom(Ajwain) Seeds - 1 tbsp; Plain Water - 1 small glass
Soya flour Gobi stuffed paratha,North,"Breakfast,Lunch,Dinner",Veg,soybean allergy,2 medium,393,235,16,24,7,8,0.3945,"Cauliflower - 1 tbsp; Onion, small - 1 tbsp; Chillies, green-1 - 1 small; Ginger, fresh - 0.25 tbsp; CUMIN SEEDS - 0.25 tbsp; CHILLIES, dry - 1 tbsp; Coriander leaves - 1 tbsp; Plain Water - 1 small glass; Red chilli Power - 1 tbsp; Garam Masala - 1 tbsp; Common salt - 1 tbsp; Soya flour - 1 Cup; Wheat flour, atta - 2 tbsp"
Chicken Sandwich,Continental,Lunch,Non-veg,gluten allergy,1 number,389,277,16,44,3,5,1.2543,"WHEAT, bread, (brown) - 2 slice; Chicken, poultry, breast, skinless - 2 gms; GARLIC, dry - 0.25 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; LETTUCE - 2 number; Tomato, ripe, local - 3 slice; CUCUMBER - 4 slice; Onion, small - 3 slice; Greek Yogurt - 1 tbsp"
Apple Shake,Continental,"Breakfast,Drinks",Veg,no-allergies,1 glass,354,116,5,22,0,2,0.014,"Apple, small - 1 small; SKIMMED MILK, liquid - 1 cup; CINNAMOM - 0.25 tbsp"
Roasted Makhana (Foxnuts),East,Snacks,Vegan,nut allergy,1 medium katori,299,139,5,28,1,3,0.388,"MAKHANA - 1 cup; Common salt - 1 tbsp; Pepper, black - 0.25 tbsp; Chat Masala - 1 tbsp; Cumin seeds - 1 tbsp"
French Toast Baked,Continental,Breakfast,Veg,dairy allergy,1 slice,365,102,6,15,1,1,0.9185,"WHEAT, bread, (brown) - 1 slice; Egg, poultry, white, raw - 2 medium; MILK (cow) - 1 tbsp; Common salt - 1 tbsp; Carrot, red - 1 tbsp; Capsicum, green - 1 tbsp; Onion, small - 1 tbsp; Tomato, ripe, local - 1 tbsp; Red chilli Power - 1 tbsp"
Filter Coffee (Skimmed milk),South,"Breakfast,Drinks",Veg,dairy allergy,1 cup,257,70,6,11,0,0,0.8155,"SKIMMED MILK, liquid - 1 cup; Coffee - 0.5 tbsp"
Chikoo Shake,Continental,"Breakfast,Drinks",Veg,dairy allergy,1 glass,482,234,4,50,2,6,0.672,"chikoo - 1 large bowl; SKIMMED MILK, liquid - 0.5 cup; Cinnamon Powder - 0.5 tbsp"
Non Vegetarian Tacos,Continental,"Lunch,Dinner",Non-veg,no-allergies,2 medium,406,293,14,25,13,6,0.87865,"Chicken, poultry, breast, skinless - 80 gms; Onion, small - 1 tbsp; Tomato, ripe, local - 1 tbsp; LETTUCE - 1 tbsp; Coriander leaves - 1 tbsp; Lemon, juice - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 4 pinch; GARLIC, dry - 0.5 tbsp; Wheat Roti - 2 small; CHILLIES, dry - 0.25 tbsp"
Baked Potato,Continental,Snacks,Veg,no-allergies,2 medium,345,141,3,27,2,5,0.2185,"Potato, brown skin, big - 2 number; Common salt - 4 pinch; Coriander leaves - 1 tbsp; CUMIN SEEDS - 0.25 tbsp; Coriander seeds - 0.25 tbsp; oilve Oil - 0.5 tbsp; Red chilli Power - 1 tbsp"
Baked Vegetables,Continental,Snacks,Veg,soy allergy,4 small,83,17,0,1,1,0,0.1584,"Cauliflower - 20 gms; CARROT - 20 gms; Capsicum, red - 20 gms; Capsicum, green - 20 gms; Pepper, black - 0.25 tbsp; Common salt - 0.25 tbsp; oilve Oil - 1 tbsp"
Besan Cheela,East,Breakfast,Vegan,chickpea allergy.,1 medium,151,277,15,38,5,7,0.204,"Onion - 1 tbsp; Tomato - 1 tbsp; Chillies, green-1 - 1 small; Cumin seeds - 1 tbsp; Coriander leaves - 1 tbsp; Common salt - 0.5 tbsp; Mustard oil - 0.5 tbsp; Turmeric powder - 1 tbsp; Besan - 0.25 Cup"
Rice milk,Continental,"Breakfast,Drinks",Vegan,rice allergy,1 glass,129,214,5,47,0,2,0.5004,"Common salt - 0.25 tbsp; Rice, raw, milled - 0.5 cup; Plain Water - 3 small cup"
